name,capital_modern,lat,lon
Архангельская губерния,Arkhangelsk,64.55,40.5333
Астраханская губерния,Astrakhan,46.3333,48.0167
Петроковская губерния,Piotrkow ,51.4,19.683333
Карсская область,Kars,40.6069,43.0931
Бакинская губерния,Baku,40.3667,49.8352
Бессарабская губерния,Kishinev ,47.022887,28.835335
Варшавская губерния,Warsaw,52.2167,21.0333
Виленская губерния,Vilnius,54.6833,25.2833
Витебская губерния,Vitebsk,55.191667,30.205556
Владимирская губерния,Vladimir,56.1333,40.4167
Вологодская губерния,Vologda,59.2167,39.9
Волынская губерния,Zhytomyr,50.2544,28.6578
Воронежская губерния,Voronezh,51.6717,39.2106
Вятская губерния,Kirov,58.6,49.683333
Гродненская губерния,Grodno,53.666667,23.833333
Екатеринославская губерния,Dnipro,48.45,34.9833
Якутская область,Yakutsk,62.0272,129.7319
Енисейская губерния,Krasnoyarsk,56.0167,92.8667
Иркутская губерния,Irkutsk,52.2833,104.3
Казанская губерния,Kazan,55.7908,49.1144
Калишская губерния,Kalisz,51.757,18.083
Калужская губерния,Kaluga,54.5333,36.2667
Келецкая губерния,Kielce,50.8725,20.6319
Киевская губерния,Kiev,50.45,30.523333
Ковенская губерния,Kaunas,54.9,23.9333
Костромская губерния,Kostroma,57.7667,40.9333
Курляндская губерния,Jelgava,56.6522,23.7244
Курская губерния,Kursk,51.7372,36.1872
Кутаисская губерния,Kutaisi,42.25,42.7
Лифляндская губерния,Riga,56.9475,24.1069
Ломжинская губерния,Lomza,53.1833,22.0833
Люблинская губерния,Lublin,51.2333,22.5667
Минская губерния,Minsk,53.9022,27.5618
Могилёвская губерния,Mogilev,53.916667,30.35
Московская губерния,Moscow,55.7558,37.6178
Нижегородская губерния,Nizhniy Novgorod,56.3269,44.0075
Новгородская губерния,Velikiy Novgorod,58.521,31.2758
Олонецкая губерния,Olonets,60.9833,32.9667
Оренбургская губерния,Orenburg,51.7667,55.1
Орловская губерния,Orel,52.9686,36.0694
Пензенская губерния,Penza,53.2,45
Пермская губерния,Perm,58.0139,56.2489
Плоцкая губерния,Plock,52.55,19.7
Подольская губерния,Kamianets-Podilskyi,48.683333,26.583333
Полтавская губерния,Poltava,49.5744,34.5686
Псковская губерния,Pskov,57.8167,28.3333
Радомская губерния,Radom,51.4036,21.1567
Рязанская губерния,Ryazan,54.6167,39.7167
Самарская губерния,Samara,53.1833,50.1167
Санкт-Петербургская губерния,Saint Petersburg,59.95,30.3167
Саратовская губерния,Saratov,51.5333,46
Седлецкая губерния,Siedlce,52.1833,22.2833
Симбирская губерния,Ulyanovsk,54.3167,48.3667
Смоленская губерния,Smolensk,54.7828,32.0453
Ставропольская губерния,Stavropol,45.05,41.9833
Сувалкская губерния,Suwalki,54.0833,22.9333
Таврическая губерния,Simferopol,44.9484,34.1
Тамбовская губерния,Tambov,52.7167,41.4333
Тверская губерния,Tver,56.8578,35.9219
Тифлисская губерния,Tbilisi,41.7225,44.7925
Тобольская губерния,Tobolsk,58.1953,68.2581
Томская губерния,Tomsk,56.4886,84.9522
Тульская губерния,Tula,54.2,37.6167
Уфимская губерния,Ufa,54.7333,55.9667
Харьковская губерния,Kharkiv,50,36.2292
Херсонская губерния,Kherson,46.6333,32.6
Черниговская губерния,Chernihiv,51.5,31.3
Черноморская губерния,Novorossiysk,44.7167,37.7667
Эриванская губерния,Yerevan,40.1814,44.5144
Эстляндская губерния,Tallinn,59.4372,24.745
Ярославская губерния,Yaroslavl,57.6167,39.85
Акмолинская область,Kokshetau,53.2824,69.3969
Амурская область,Blagoveshchensk,50.2578,127.5364
Дагестанская область,Buynaksk,42.8167,47.1167
Забайкальская область,Chita,52.05,113.466667
Закаспийская область,Ashgabat,37.95,58.3833
Кубанская область,Krasnodar,45.0333,38.9833
Область войска Донского,Novocherkassk,47.4222,40.0939
Приморская область,Vladivostok,43.1167,131.9
Самаркандская область,Samarkand,39.6542,66.9597
Семипалатинская область,Semipalatinsk ,50.433333,80.266667
Семиреченская область,Almaty,43.25,76.9
Сыр-Дарьинская область,Tashkent,41.3,69.2667
Терская область,Vladikavkaz,43.0167,44.65
Тургайская область,Arkalyk,50.248056,66.927778
Уральская область,Oral,51.2333,51.3667
Ферганская область,Fergana,40.386389,71.786389
Елизаветпольская губерния,Ganja,40.682778,46.360556
Сахалин,Alexandrovsk-Sakhalinsky,50.9,142.15
Або-Бьёрнеборгская губерния,Turku,60.45,22.266667
Вазаская губерния,Vaasa,63.1,21.616667
Выборгская губерния,Vyborg,60.716667,28.766667
Куопиоская губерния,Kuopio,62.8925,27.678333
Нюландская губерния,Helsinki,60.170833,24.9375
Санкт-Михельская губерния,Mikkeli,61.683333,27.266667
Тавастгусская губерния,Hame Castle,61.003889,24.458056
Улеаборгская губерния,Oulu,65.014167,25.471944
