name,lnrail,grain_prod,grain_harvest
Архангельская губерния,0,3.9605577,889927.8455
Вологодская губерния,4.4308167,4.2092113,8988231.173
Олонецкая губерния,0,4.207361,2138042.845
Санкт-Петербургская губерния,6.474853,4.001732,4368831.936
Новгородская губерния,6.5162997,3.7409575,9236162.1
Псковская губерния,5.76687,3.9095674,7465480.8
Эстляндская губерния,5.761435,5.5678816,3345317.182
Лифляндская губерния,6.6171837,5.4705195,13896001.75
Курляндская губерния,5.3471074,5.30409,7356765.891
Смоленская губерния,6.4523234,3.7281935,12198660.35
Витебская губерния,6.204558,3.7193472,8468004.409
Могилёвская губерния,6.113753,3.6841202,9694439.573
Ковенская губерния,6.100319,4.6945214,11036933.68
Московская губерния,6.5820804,3.3024008,6122721.327
Владимирская губерния,6.5447173,3.1855366,9730464.464
Нижегородская губерния,4.060443,3.5424385,12739406.53
Костромская губерния,4.9058967,3.7586474,12151446.38
Ярославская губерния,5.766588,3.946505,9153714.9
Тверская губерния,6.2724204,3.5206516,13128973.27
Калужская губерния,5.1357985,2.847179,6672383.518
Тульская губерния,6.408374,3.8386188,16201564.48
Рязанская губерния,6.526492,4.1635804,16430638.95
Орловская губерния,7.0494113,3.9706223,17428351.48
Тамбовская губерния,7.0315204,5.001598,30840657.8
Курская губерния,6.8723893,4.3323007,23712505.11
Казанская губерния,4.9988327,3.5530303,21795456.91
Пензенская губерния,6.4315567,4.160942,16107821.67
Черниговская губерния,6.699897,3.8665912,13600726.99
Полтавская губерния,6.54105,5.913899,27530297.41
Киевская губерния,6.7562065,5.8127146,27104201.17
Подольская губерния,6.5568695,5.4999304,23900880.45
Волынская губерния,6.8672166,4.470939,20077305.53
Бессарабская губерния,6.6759467,5.70945,16918558.4
Херсонская губерния,6.8806224,6.7450686,39520480.81
Екатеринославская губерния,7.284135,6.2235274,27239650.17
Область войска Донского,7.0830436,5.95096,30936409.19
Самарская губерния,7.0713186,4.4760127,30749357.09
Вятская губерния,0,3.7147954,44475935.22
Пермская губерния,7.0328274,3.895655,33125993.02
Минская губерния,6.9713683,4.0502124,12293469.87
Гродненская губерния,6.8850718,4.498834,8970932.827
Виленская губерния,6.5476947,3.8397517,9628246.582
Воронежская губерния,7.0899434,4.5067058,24073536.02
Симбирская губерния,5.586904,4.252836,16284281.69
Харьковская губерния,6.877822,4.8823614,21816158.87
Таврическая губерния,6.2523856,5.6284285,23414724.34
Саратовская губерния,7.154404,4.810048,27958589.31
Астраханская губерния,4.248495,5.2764215,2200585.2
Оренбургская губерния,6.9472065,3.5581813,31579979.45
