name,sh_serfs1858
Архангельская губерния,0.000852227
Астраханская губерния,0.25681227
Бессарабская губерния,0.054161754
Черниговская губерния,0.5547386
Область войска Донского,0.4786308
Екатеринославская губерния,0.59751296
Эстляндская губерния,0
Гродненская губерния,0
Калужская губерния,0
Казанская губерния,0.75298554
Харьковская губерния,0.7224592
Херсонская губерния,0.83324707
Киевская губерния,0.5438233
Костромская губерния,0.5562816
Ковенская губерния,0.61563605
Курляндская губерния,0.6234813
Курская губерния,0.6170559
Лифляндская губерния,0.6350695
Минская губерния,0.5553064
Могилёвская губерния,0.68949986
Московская губерния,0.7773193
Нижегородская губерния,0.60950136
Новгородская губерния,0.5413869
Олонецкая губерния,0.4305019
Оренбургская губерния,0.43637756
Орловская губерния,0.15559413
Пензенская губерния,0.5122704
Пермская губерния,0.4479227
Подольская губерния,0.4028136
Полтавская губерния,0.73674285
Псковская губерния,0.7438541
Рязанская губерния,0.5716905
Самарская губерния,0.017088158
Санкт-Петербургская губерния,0.44644338
Саратовская губерния,0.33884484
Симбирская губерния,0.32912257
Смоленская губерния,0.16000374
Тамбовская губерния,0.018811058
Таврическая губерния,0.20602047
Тульская губерния,0.7887247
Тверская губерния,0.5589974
Виленская губерния,0.5953678
Витебская губерния,0.28061295
Владимирская губерния,0.4124734
Волынская губерния,0.34488344
Вологодская губерния,0.077880524
Воронежская губерния,0.4733163
Вятская губерния,0.034530997
Ярославская губерния,0.072123215
Уфимская губерния,0.129507315
Варшавская губерния,0
Калишская губерния,0
Келецкая губерния,0
Ломжинская губерния,0
Люблинская губерния,0
Петроковская губерния,0
Плоцкая губерния,0
Радомская губерния,0
Сувалкская губерния,0
Седлецкая губерния,0
Акмолинская область,0
Закаспийская область,0
Самаркандская область,0
Семипалатинская область,0
Семиреченская область,0
Сыр-Дарьинская область,0
Тургайская область,0
Уральская область,0
Ферганская область,0
Енисейская губерния,0.000837576
Забайкальская область,3.01E-05
Иркутская губерния,0
Тобольская губерния,0.003700276
Томская губерния,0.000587524
Якутская область,0
Приморская область,0
Амурская область,0
Сахалин,0
Бакинская губерния,0
Елизаветпольская губерния,0.056083843
Тифлисская губерния,0.252436701
Кутаисская губерния,0.578051116
Кубанская область,0
Терская область,0.059438183
Ставропольская губерния,0.006266599
Дагестанская область,0
Карсская область,0
Черноморская губерния,0
Эриванская губерния,0
